City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,tura,25.5198,90.2201,26.52,79,42,2.61,IN,1724638818
170,portland,45.5234,-122.6762,24.97,50,0,2.57,US,1724638819
171,lakatoro,-16.0999,167.4164,27.24,54,6,5.92,VU,1724638820
172,mathba,22.2855,89.9629,24.71,96,100,2.57,BD,1724638821
173,chernyshevskiy,63.0128,112.4714,14.22,65,100,1.29,RU,1724638823
174,hithadhoo,-0.6,73.0833,28.34,72,100,3.51,MV,1724638824
175,cabo san lucas,22.8909,-109.9124,30.42,37,0,5.66,MX,1724638541
176,saipan,15.1355,145.701,31.39,74,40,3.6,MP,1724638826
177,iskateley,67.6803,53.1512,9.72,94,98,3.5,RU,1724638827
178,saint-philippe,-21.3585,55.7679,18.68,76,72,6.58,RE,1724638828
179,klyuchi,52.2667,79.1667,14.68,80,98,6.95,RU,1724638829
180,saldanha,-33.0117,17.9442,13.03,90,44,7.4,ZA,1724638830
181,tazovsky,67.4667,78.7,10.75,79,93,2.92,RU,1724638832
182,kununurra,-15.7667,128.7333,34.99,28,0,3.6,AU,1724638833
183,utrik,11.2278,169.8474,28.77,79,6,6.52,MH,1724638834
184,ariquemes,-9.9133,-63.0408,25.06,47,0,2.43,BR,1724638835
185,turpan,42.9333,89.1667,30.9,38,64,1.91,CN,1724638836
186,huedin,46.8667,23.05,19.73,41,70,2.56,RO,1724638837
187,lodja,-3.4833,23.4333,20.46,85,73,0.53,CD,1724638838
188,papatowai,-46.5619,169.4708,9.44,79,99,5.53,NZ,1724638839
189,alcantara,-2.4089,-44.4147,26.11,84,19,2.85,BR,1724638841
190,haiku-pauwela,20.9219,-156.3051,24.73,92,100,5.36,US,1724638842
191,modimolle,-24.7,28.4,13.82,27,0,1.87,ZA,1724638843
192,port elizabeth,-33.918,25.5701,13.51,65,0,1.54,ZA,1724638844
193,lae,-6.7221,146.9847,25.9,75,100,2.48,PG,1724638845
194,tofol,5.3248,163.0078,28.5,71,96,1.26,FM,1724638846
195,ilhabela,-23.7781,-45.3581,14.08,87,100,3.28,BR,1724638847
196,ugoofaaru,5.6667,73.0,27.17,74,44,1.93,MV,1724638848
197,poco verde,-10.7083,-38.1833,17.13,94,0,1.69,BR,1724638850
198,tabas,33.5959,56.9244,27.25,19,0,1.07,IR,1724638851
199,flying fish cove,-10.4217,105.6791,25.82,88,100,6.69,CX,1724638852
200,namibe,-15.1961,12.1522,16.55,93,17,1.62,AO,1724638853
201,san luis de la loma,17.2706,-100.8939,27.67,84,100,1.83,MX,1724638854
202,kingman,35.1894,-114.053,29.52,9,0,5.66,US,1724638609
203,hamilton,39.1834,-84.5333,27.21,71,40,2.57,US,1724638761
204,crane,31.3974,-102.3501,32.23,31,5,5.68,US,1724638857
205,kailua-kona,19.6406,-155.9956,26.98,96,100,5.14,US,1724638859
206,zeya,53.75,127.2667,21.02,68,100,1.23,RU,1724638860
207,adre,13.4667,22.2,22.98,85,99,5.35,TD,1724638861
208,carnarvon,-24.8667,113.6333,21.37,43,1,3.14,AU,1724638862
209,awjilah,29.1081,21.2869,28.11,51,0,4.06,LY,1724638863
210,remire-montjoly,4.9167,-52.2667,27.02,89,0,0.0,GF,1724638864
211,queenstown,-31.8976,26.8753,9.6,23,21,3.48,ZA,1724638865
212,geraldton,-28.7667,114.6,18.23,72,6,4.12,AU,1724638596
213,agat village,13.3886,144.6585,30.76,84,40,2.06,GU,1724638869
214,avra valley,32.4379,-111.3154,36.21,23,0,2.06,US,1724638870
215,kittila,67.6647,24.8936,9.08,93,0,3.09,FI,1724638871
216,greenville,35.6127,-77.3663,23.97,92,0,0.0,US,1724638771
217,paoua,7.2427,16.4406,19.43,96,100,1.35,CF,1724638873
218,komsomol'skiy,43.9783,46.6985,23.67,64,100,6.09,RU,1724638875
219,jales,-20.2689,-50.5458,13.91,30,85,3.76,BR,1724638876
220,hirara,24.8,125.2833,31.15,84,75,4.63,JP,1724638878
221,newman,37.3138,-121.0208,26.69,38,0,1.34,US,1724638879
222,iranshahr,27.2025,60.6848,28.19,17,0,2.06,IR,1724638880
223,concepcion,-36.827,-73.0498,10.89,82,100,3.6,CL,1724638392
224,orchard homes,46.8633,-114.0484,19.08,47,0,6.17,US,1724638694
225,laguna,38.421,-121.4238,29.46,27,0,3.6,US,1724638883
226,veraval,20.9,70.3667,26.62,87,100,9.83,IN,1724638884
227,al wajh,26.2455,36.4525,28.97,70,20,2.06,SA,1724638885
228,kuala terengganu,5.3302,103.1408,26.97,89,20,2.06,MY,1724638887
229,yanam,16.7333,82.2167,25.47,91,100,2.49,IN,1724638888
230,zouerate,22.7187,-12.4521,32.88,34,1,3.16,MR,1724638889
231,nantucket,41.2835,-70.0995,19.52,94,0,2.57,US,1724638766
232,dunedin,-45.8742,170.5036,8.22,93,100,2.68,NZ,1724638891
233,gisborne,-38.6533,178.0042,16.71,50,100,4.38,NZ,1724638892
234,whangarei,-35.7317,174.3239,19.73,52,94,1.89,NZ,1724638893
235,melenki,55.3343,41.6295,16.34,82,21,1.23,RU,1724638894
236,sayansk,54.1088,102.1648,15.91,80,100,2.11,RU,1724638897
237,zyrya,40.3661,50.2917,26.05,74,1,10.52,AZ,1724638898
238,bikenibeu village,1.3673,173.1241,31.98,66,20,5.66,KI,1724638899
239,tangalle,6.024,80.7911,27.23,79,92,5.48,LK,1724638900
240,kangding,30.0513,101.9603,20.91,69,98,2.02,CN,1724638901
241,kavieng,-2.5744,150.7967,27.07,83,100,3.51,PG,1724638902
242,mejit,10.2753,170.8646,28.49,79,2,5.89,MH,1724638903
243,san luis de since,9.2439,-75.1468,24.98,90,100,2.5,CO,1724638905
244,fortuna,40.5982,-124.1573,19.4,73,0,2.57,US,1724638906
245,kavali,14.9167,79.9833,28.58,59,100,8.2,IN,1724638907
246,coyhaique,-45.5752,-72.0662,2.89,99,100,1.53,CL,1724638908
247,revelstoke,50.9832,-118.2023,18.01,77,75,0.0,CA,1724638909
